,UserID,Name,FavouriteGenre,Password,Fine
0,10000,Jolene Rhodes,Technology & Engineering,FEP13BWO2FX,4.89
1,10001,Basia Gill,Fiction,SNS82NRE7MT,4.82
2,10002,Madaline Carver,Political Science,OXW31XKS3OA,5.09
3,10003,Dawn Henry,Biography & Autobiography,XGP44KYN4HI,5.05
4,10004,Christen Mclaughlin,Technology & Engineering,FPM93RKT5SO,4.93
5,10005,Uta Stevens,Pets,VMW22MWP5BC,5.15
6,10006,Clio Cummings,Biography & Autobiography,BTC48OKU6PQ,5.34
7,10007,Aline Cash,Political Science,XUQ80HDI6XQ,5.35
8,10008,Grant Reese,Pets,XDJ11BBW8FL,4.79
9,10009,Mohammad Hobbs,Poetry,OPQ03XIG5YX,4.74
10,10010,Carlos Robertson,Fiction,DIC72SHQ5PS,4.54
11,10011,Indigo Woodard,Pets,MYU51YYD3PZ,5.41
12,10012,Anne Morales,Biography & Autobiography,PFC49VSQ4HF,4.55
13,10013,Aidan Fuentes,Political Science,MPX76MDY8HR,5.08
14,10014,Abigail Hutchinson,Political Science,FEV16HEU6SR,5.31
15,10015,Quinlan Key,Biography & Autobiography,DSA78ELD3JI,4.68
16,10016,Lucius Grant,Poetry,WPX36NSX7HY,5.36
17,10017,Mufutau White,History,CFE54DJY9QA,5.09
18,10018,Jamal Baker,Health & Fitness,PEZ36GCP5LZ,5.44
19,10019,Salvador Mcfarland,Technology & Engineering,OLC66MEP6DJ,4.71
20,10020,Veda Stone,Technology & Engineering,RTZ98OTQ5IG,4.99
21,10021,Felicia Pugh,Health & Fitness,CJL62BUS2SJ,4.67
22,10022,Thane Lambert,Health & Fitness,BKB49GDO1WX,5.42
23,10023,Morgan Watson,Political Science,HGI58IBV5UU,4.88
24,10024,Rudyard Wolf,Biography & Autobiography,SHO54BPL0QX,4.99
25,10025,Kane Holder,Health & Fitness,TLC65FFU7WS,4.46
26,10026,Shay Shannon,Technology & Engineering,FRO65QYA1BK,5.12
27,10027,Hedwig Underwood,Fiction,KVY51HSG1HZ,5.1
28,10028,Akeem Maddox,Pets,IHB81LFY3PL,4.57
29,10029,Damian Meyers,History,YJJ72EFI5AH,5.11
30,10030,Rowan Mcdowell,Psychology,VDJ28IVE7IK,5.29
31,10031,Shana Mejia,Poetry,QRB47XJL3PI,4.92
32,10032,Candice Kaufman,Fiction,DMD85OPT7TK,4.88
33,10033,Zane Boone,Psychology,EWL95VRC1BR,5.15
34,10034,Breanna Johnston,Political Science,KUO38EIG8NA,5.04
35,10035,Thomas Finch,Business & Economics,SYQ89LJW7IZ,5.36
36,10036,Cathleen Whitney,Fiction,TLD83AJE0WT,4.89
37,10037,Shelly Gonzales,Health & Fitness,IUE29WEV0LH,5.3
38,10038,Ezekiel Guerra,Fiction,MRT40SJL1LF,4.95
39,10039,Chancellor Melendez,Pets,FJE98EDS4OI,4.95
40,10040,Darryl Brock,Technology & Engineering,BSP34STD1RL,4.52
41,10041,Jana Flowers,Business & Economics,WEE17XVB6IG,5.03
42,10042,Aiko Wolfe,Biography & Autobiography,RVK16QAH7FK,5.18
43,10043,Aidan Boyer,Poetry,JQX13PVT2DS,5.47
44,10044,Demetrius Ramirez,Business & Economics,BTC87UQF2SV,5.05
45,10045,Shelly Snider,Poetry,NXJ31PBC2VY,4.97
46,10046,Cole Scott,Technology & Engineering,PDN92FTR9KJ,5.12
47,10047,Montana Stephenson,Biography & Autobiography,BSY31LCI2BF,4.72
48,10048,Wang Miller,Poetry,IHC75HUE0VQ,4.75
49,10049,Rae Moses,Fiction,JYO31DWK3DS,4.98
80,10050,user,Fiction,123,0
